Epoch,Loss,Validation Loss,Accuracy,Validation Accuracy
1,0.39017409086227417,0.34189996123313904,0.8628913164138794,0.8675443530082703
2,0.3549187481403351,0.3400689959526062,0.8650745749473572,0.870231032371521
3,0.35328927636146545,0.3387453854084015,0.8658134937286377,0.8709027171134949
4,0.3521614968776703,0.33704984188079834,0.8651753067970276,0.8714401125907898
5,0.3512759506702423,0.33524012565612793,0.8651081323623657,0.8726491332054138
6,0.3505874276161194,0.33456888794898987,0.8651753067970276,0.8730521202087402
7,0.35011667013168335,0.33443379402160645,0.8655784130096436,0.8734551072120667
8,0.34968698024749756,0.33395829796791077,0.8655447959899902,0.8725147843360901
9,0.34933504462242126,0.3336694836616516,0.8659142851829529,0.8722460865974426
10,0.3490137457847595,0.33270952105522156,0.8660486340522766,0.8733208179473877
11,0.3486602306365967,0.33222252130508423,0.8659814596176147,0.8737238049507141
12,0.3483943045139313,0.3324337899684906,0.8663509488105774,0.8741267919540405
13,0.3481082618236542,0.33180591464042664,0.8658134937286377,0.874395489692688
14,0.3477220833301544,0.3312980532646179,0.865679144859314,0.8735894560813904
15,0.3473660945892334,0.33126991987228394,0.8657463192939758,0.8734551072120667
16,0.3469860851764679,0.3310113251209259,0.8660150766372681,0.8734551072120667
17,0.3466302156448364,0.3307640850543976,0.8658134937286377,0.873186469078064
18,0.3462967276573181,0.33009058237075806,0.8657799363136292,0.873186469078064
19,0.34596171975135803,0.3297792971134186,0.8658134937286377,0.8739925026893616
20,0.3456307649612427,0.3293589651584625,0.8657799363136292,0.8738581538200378
21,0.345365047454834,0.32876458764076233,0.8652760982513428,0.8734551072120667
22,0.34513798356056213,0.32841095328330994,0.8649402260780334,0.8730521202087402
23,0.34484705328941345,0.328449547290802,0.8648394346237183,0.8725147843360901
24,0.34457674622535706,0.32816314697265625,0.8646043539047241,0.8734551072120667
25,0.34435731172561646,0.3283753991127014,0.8643355965614319,0.8727834224700928
26,0.3441446125507355,0.32817140221595764,0.8643020391464233,0.8729177713394165
27,0.34390896558761597,0.3276365399360657,0.8644363880157471,0.8726491332054138
28,0.34366506338119507,0.3275398313999176,0.8642348647117615,0.8714401125907898
29,0.3434385657310486,0.3273647725582123,0.8643020391464233,0.8714401125907898
30,0.34318971633911133,0.32706019282341003,0.8644027709960938,0.8711714148521423
31,0.34307029843330383,0.32706621289253235,0.8643020391464233,0.8707684278488159
32,0.34290915727615356,0.3268779516220093,0.8641005158424377,0.8707684278488159
33,0.3427378535270691,0.3269287645816803,0.8638317584991455,0.8709027171134949
34,0.34261298179626465,0.3270285725593567,0.8636974096298218,0.8706340789794922
35,0.34244683384895325,0.3267429769039154,0.8638317584991455,0.8707684278488159
36,0.3423450291156769,0.3273104727268219,0.8634958863258362,0.870096743106842
37,0.3421410024166107,0.3271428942680359,0.8634623289108276,0.8707684278488159
38,0.342085599899292,0.32749560475349426,0.863563060760498,0.870231032371521
39,0.34193676710128784,0.32686859369277954,0.8634287118911743,0.870096743106842
40,0.34182754158973694,0.32725489139556885,0.8635966777801514,0.8706340789794922
